263회,"1,153.00",5.5,"1,173.17","1,132.83","1,164.20","1,141.80","1,166.83","1,141.17"
262회,"1,152.50",6,"1,172.66","1,132.34","1,163.70","1,141.30","1,166.33","1,140.67"
261회,"1,152.00",6.5,"1,172.16","1,131.84","1,163.20","1,140.80","1,165.82","1,140.17"
260회,"1,151.50",7,"1,171.65","1,131.35","1,162.70","1,140.30","1,165.31","1,139.67"
259회,"1,152.00",6.5,"1,172.16","1,131.84","1,163.20","1,140.80","1,165.82","1,140.17"
258회,"1,152.50",6,"1,172.66","1,132.34","1,163.70","1,141.30","1,166.33","1,140.67"
257회,"1,153.00",5.5,"1,173.17","1,132.83","1,164.20","1,141.80","1,166.83","1,141.17"
256회,"1,153.50",5,"1,173.68","1,133.32","1,164.80","1,142.20","1,167.34","1,141.57"
255회,"1,154.00",4.5,"1,174.19","1,133.81","1,165.30","1,142.70","1,167.84","1,142.06"
254회,"1,153.50",5,"1,173.68","1,133.32","1,164.80","1,142.20","1,167.34","1,141.57"
