Country name,TIME,Value_alchol
Austria,2018,12.2
Belgium,2018,9.4
Canada,2018,8.2
Czech Republic,2018,11.8
Denmark,2018,9.7
Finland,2018,8.4
France,2018,11.6
Germany,2018,10.8
Greece,2018,6.1
Iceland,2018,7.7
Ireland,2018,11
Italy,2018,7.8
Japan,2018,7.2
Republic of Korea,2018,8.5
Luxembourg,2018,11
Netherlands,2018,8.3
New Zealand,2018,8.8
Norway,2018,6
Poland,2018,10.7
Portugal,2018,10.4
Slovakia,2018,10.1
Spain,2018,10.4
Sweden,2018,7.2
Switzerland,2018,9.1
Turkey,2018,1.4
United Kingdom,2018,9.8
Brazil,2018,6.2
China,2018,5.6
Estonia,2018,10.1
India,2018,3.1
Indonesia,2018,0.1
Israel,2018,3
Russian Federation,2018,11.2
Slovenia,2018,10
South Africa,2018,7.3
Colombia,2018,4.3
Latvia,2018,12.6
Lithuania,2018,11.2
Costa Rica,2018,3.8
